rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.8,8,1e-05,floor,arrival_first,1.9999999999999185e-05,0.0004952947003466861,False,False,False
0.8,8,1e-05,floor,departure_first,1.9999999999999185e-05,0.0004952947003466861,False,False,False
0.8,8,3e-05,floor,arrival_first,3.999999999999837e-05,0.0010764262648008172,False,False,False
0.8,8,3e-05,floor,departure_first,3.999999999999837e-05,0.0010764262648008172,False,False,False
0.8,8,0.0001,floor,arrival_first,5.9999999999997555e-05,0.0016111707841030493,False,False,False
0.8,8,0.0001,floor,departure_first,5.9999999999997555e-05,0.0016111707841030493,False,False,False
0.8,8,0.0003,floor,arrival_first,6.0000000000004494e-05,0.0016304347826086292,False,False,False
0.8,8,0.0003,floor,departure_first,0.00012000000000000205,0.0031185031185031716,False,False,False
0.8,8,0.001,floor,arrival_first,0.0001799999999999996,0.004891304347826076,False,False,False
0.8,8,0.001,floor,departure_first,0.0001999999999999988,0.005434782608695619,False,False,False
0.8,8,0.003,floor,arrival_first,0.0003799999999999984,0.01001053740779764,False,False,False
0.8,8,0.003,floor,departure_first,0.00048000000000000126,0.012644889357218157,False,False,False
0.8,8,0.01,floor,arrival_first,0.0010999999999999968,0.028901734104046162,False,False,False
0.8,8,0.01,floor,departure_first,0.001239999999999998,0.032580136626379354,False,False,False
0.8,8,0.03,floor,arrival_first,0.0025599999999999998,0.06640625000000001,True,False,False
0.8,8,0.03,floor,departure_first,0.002820000000000003,0.07198660714285712,True,False,False
0.8,8,0.1,floor,arrival_first,0.007060000000000004,0.1772702555736814,True,True,False
0.8,8,0.1,floor,departure_first,0.007760000000000003,0.2023121387283236,True,True,False
1.0,8,1e-05,floor,arrival_first,0.00016000000000000736,0.001469237832874264,False,False,False
1.0,8,1e-05,floor,departure_first,0.00016000000000000736,0.001469237832874264,False,False,False
1.0,8,3e-05,floor,arrival_first,0.00020000000000000573,0.0018298261665142337,False,False,False
1.0,8,3e-05,floor,departure_first,0.00020000000000000573,0.0018298261665142337,False,False,False
1.0,8,0.0001,floor,arrival_first,0.00021999999999999797,0.0019891500904158947,False,False,False
1.0,8,0.0001,floor,departure_first,0.00021999999999999797,0.0019891500904158947,False,False,False
1.0,8,0.0003,floor,arrival_first,0.0005600000000000049,0.0051423324150597334,False,False,False
1.0,8,0.0003,floor,departure_first,0.0008200000000000013,0.007529843893480269,False,False,False
1.0,8,0.001,floor,arrival_first,0.0006400000000000017,0.005594405594405609,False,False,False
1.0,8,0.001,floor,departure_first,0.0006999999999999923,0.006309716964124683,False,False,False
1.0,8,0.003,floor,arrival_first,0.001680000000000001,0.015143320713899414,False,False,False
1.0,8,0.003,floor,departure_first,0.0018200000000000022,0.016405264106724375,False,False,False
1.0,8,0.01,floor,arrival_first,0.002799999999999997,0.02607561929595825,False,False,False
1.0,8,0.01,floor,departure_first,0.0030799999999999994,0.029361296472831266,False,False,False
1.0,8,0.03,floor,arrival_first,0.0071400000000000075,0.06447534766118844,True,False,False
1.0,8,0.03,floor,departure_first,0.007379999999999998,0.06646198302329787,True,False,False
1.0,8,0.1,floor,arrival_first,0.018199999999999994,0.16315125292951138,True,True,False
1.0,8,0.1,floor,departure_first,0.019199999999999995,0.17306652244456458,True,True,False
1.1,8,1e-05,floor,arrival_first,0.00028000000000000247,0.0017114914425428024,False,False,False
1.1,8,1e-05,floor,departure_first,0.00028000000000000247,0.0017114914425428024,False,False,False
1.1,8,3e-05,floor,arrival_first,0.00028000000000000247,0.0017114914425428024,False,False,False
1.1,8,3e-05,floor,departure_first,0.00028000000000000247,0.0017114914425428024,False,False,False
1.1,8,0.0001,floor,arrival_first,0.0004200000000000037,0.002640181040985691,False,False,False
1.1,8,0.0001,floor,departure_first,0.0004599999999999882,0.00294682895579749,False,False,False
1.1,8,0.0003,floor,arrival_first,0.0009000000000000119,0.00586777937149571,False,False,False
1.1,8,0.0003,floor,departure_first,0.0008000000000000229,0.005215803885774045,False,False,False
1.1,8,0.001,floor,arrival_first,0.0011999999999999789,0.007562389715149854,False,False,False
1.1,8,0.001,floor,departure_first,0.0013799999999999923,0.008689081979599498,False,False,False
1.1,8,0.003,floor,arrival_first,0.0025399999999999867,0.01620518055378325,False,False,False
1.1,8,0.003,floor,departure_first,0.0023799999999999932,0.015184381778741823,False,False,False
1.1,8,0.01,floor,arrival_first,0.004720000000000002,0.030113563863723377,False,False,False
1.1,8,0.01,floor,departure_first,0.004699999999999982,0.029985964016843066,False,False,False
1.1,8,0.03,floor,arrival_first,0.008039999999999992,0.05129513844583381,True,False,False
1.1,8,0.03,floor,departure_first,0.008619999999999989,0.05538421999485986,True,False,False
1.1,8,0.1,floor,arrival_first,0.023279999999999995,0.14411291321035036,True,True,False
1.1,8,0.1,floor,departure_first,0.02456,0.15363021564374119,True,True,False
