filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T08:45:39.295437+00:00
loss_rho-0.8_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T08:45:39.295462+00:00
loss_rho-0.8_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T08:45:39.295464+00:00
loss_rho-1.0_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T08:45:39.816938+00:00
loss_rho-1.0_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T08:45:39.816954+00:00
loss_rho-1.0_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T08:45:39.816956+00:00
loss_rho-1.1_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T08:45:40.235793+00:00
loss_rho-1.1_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T08:45:40.235828+00:00
loss_rho-1.1_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T08:45:40.235830+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:40.622878+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:40.622895+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:40.622897+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.222537+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.222552+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.222554+00:00
signed_loss_error_ru.png,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.664346+00:00
signed_loss_error_ru.svg,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.664361+00:00
signed_loss_error_ru.pdf,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:41.664364+00:00
critical_collision_rate_ru.png,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.215633+00:00
critical_collision_rate_ru.svg,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.215651+00:00
critical_collision_rate_ru.pdf,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.215654+00:00
total_collision_vs_gap_ru.png,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.468742+00:00
total_collision_vs_gap_ru.svg,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.468758+00:00
total_collision_vs_gap_ru.pdf,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.468761+00:00
critical_difference_vs_gap_ru.png,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.728530+00:00
critical_difference_vs_gap_ru.svg,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.728547+00:00
critical_difference_vs_gap_ru.pdf,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T08:45:42.728549+00:00
runtime_vs_events_ru.png,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.969402+00:00
runtime_vs_events_ru.svg,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.969417+00:00
runtime_vs_events_ru.pdf,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T08:45:42.969418+00:00
sensitivity_heatmap_K-8_ru.png,sensitivity_heatmap,paired_differences.parquet,capacity=8,plot_run,ru,2026-07-28T08:45:43.466899+00:00
sensitivity_heatmap_K-8_ru.svg,sensitivity_heatmap,paired_differences.parquet,capacity=8,plot_run,ru,2026-07-28T08:45:43.466917+00:00
sensitivity_heatmap_K-8_ru.pdf,sensitivity_heatmap,paired_differences.parquet,capacity=8,plot_run,ru,2026-07-28T08:45:43.466919+00:00
