replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
29,1.1,8,0.1,floor,3208816269316561533,0.1356,0.13264,0.0029599999999999904,0.0029599999999999904,0.19843787861150175,0.08979000000000001,0.01273
3,1.1,8,0.1,floor,7983001648162452030,0.13532,0.13248,0.002840000000000009,0.002840000000000009,0.2018946384698279,0.0915,0.013090000000000001
19,1.1,8,0.1,floor,16801682272545385216,0.13984,0.13704,0.002799999999999997,0.002799999999999997,0.2020727797953285,0.08763,0.012490000000000001
5,1.1,8,0.1,floor,15427716444626961642,0.1359,0.13318,0.00272,0.00272,0.20107567814418514,0.08996,0.01346
15,1.0,8,0.1,floor,13701480300976598992,0.09722,0.0947,0.0025199999999999945,0.0025199999999999945,0.19396674021300314,0.08996000000000001,0.00927
2,1.1,8,0.1,floor,3038138763710390508,0.14086,0.13856,0.0023000000000000242,0.0023000000000000242,0.20279746840929413,0.0902,0.01368
8,1.1,8,0.1,floor,9281888029822216063,0.13934,0.13708,0.0022599999999999842,0.0022599999999999842,0.2018491530946013,0.09163,0.01369
7,1.0,8,0.1,floor,886417246250152288,0.0982,0.09596,0.002239999999999992,0.002239999999999992,0.19534176456028096,0.09165999999999999,0.00952
24,1.1,8,0.1,floor,8737461016903550496,0.13744,0.13536,0.0020799999999999985,0.0020799999999999985,0.20350671364969936,0.09107,0.01308
4,1.1,8,0.03,floor,217793602555244476,0.1554,0.15334,0.0020600000000000063,0.0020600000000000063,0.06558717819407704,0.02851,0.00446
1,1.0,8,0.1,floor,4089184876689813903,0.09894,0.09704,0.001899999999999999,0.001899999999999999,0.19418468087542706,0.09165000000000001,0.00952
11,1.1,8,0.1,floor,12195589600042198449,0.13874,0.1369,0.0018400000000000083,0.0018400000000000083,0.19959696452862463,0.08940000000000001,0.013420000000000001
4,1.0,8,0.1,floor,728953515580143260,0.09664,0.09484,0.00180000000000001,0.00180000000000001,0.1927370284577612,0.09208,0.00906
28,1.0,8,0.1,floor,684985071897971225,0.09356,0.09182,0.0017400000000000054,0.0017400000000000054,0.19327387945903057,0.09054,0.008490000000000001
23,1.0,8,0.1,floor,75923391556935890,0.09926,0.09754,0.0017199999999999993,0.0017199999999999993,0.19324322754033152,0.0915,0.00909
3,1.0,8,0.1,floor,12520171671636067920,0.09294,0.09126,0.001680000000000001,0.001680000000000001,0.19392274952522826,0.09192,0.008979999999999998
6,1.1,8,0.1,floor,13301703752507039881,0.13942,0.13778,0.0016399999999999748,0.0016399999999999748,0.20255667963247584,0.09112,0.013479999999999999
22,1.1,8,0.1,floor,11647639456545323820,0.1428,0.14118,0.0016200000000000103,0.0016200000000000103,0.2011996860708014,0.09035,0.013090000000000001
12,1.0,8,0.1,floor,13294286516017681836,0.09064,0.08904,0.0016000000000000042,0.0016000000000000042,0.19553719233623706,0.09211,0.008629999999999999
10,1.1,8,0.1,floor,8493315670687348553,0.13424,0.13266,0.001579999999999998,0.001579999999999998,0.2009706903925619,0.09164,0.01261
