rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.8,8,1e-05,floor,arrival_first,1.9999999999999185e-05,0.0004952947003466,False,False,False
0.8,8,1e-05,floor,departure_first,1.9999999999999185e-05,0.0004952947003466,False,False,False
0.8,8,3e-05,floor,arrival_first,3.999999999999837e-05,0.0010764262648008,False,False,False
0.8,8,3e-05,floor,departure_first,3.999999999999837e-05,0.0010764262648008,False,False,False
0.8,8,0.0001,floor,arrival_first,5.999999999999756e-05,0.001611170784103,False,False,False
0.8,8,0.0001,floor,departure_first,5.999999999999756e-05,0.001611170784103,False,False,False
0.8,8,0.0003,floor,arrival_first,6.0000000000004494e-05,0.0016304347826086,False,False,False
0.8,8,0.0003,floor,departure_first,0.00012,0.0031185031185031,False,False,False
0.8,8,0.001,floor,arrival_first,0.0001799999999999,0.004891304347826,False,False,False
0.8,8,0.001,floor,departure_first,0.0001999999999999,0.0054347826086956,False,False,False
0.8,8,0.003,floor,arrival_first,0.0003799999999999,0.0100105374077976,False,False,False
0.8,8,0.003,floor,departure_first,0.00048,0.0126448893572181,False,False,False
0.8,8,0.01,floor,arrival_first,0.0010999999999999,0.0289017341040461,False,False,False
0.8,8,0.01,floor,departure_first,0.0012399999999999,0.0325801366263793,False,False,False
0.8,8,0.03,floor,arrival_first,0.0025599999999999,0.06640625,True,False,False
0.8,8,0.03,floor,departure_first,0.00282,0.0719866071428571,True,False,False
0.8,8,0.1,floor,arrival_first,0.00706,0.1772702555736814,True,True,False
0.8,8,0.1,floor,departure_first,0.00776,0.2023121387283236,True,True,False
1.0,8,1e-05,floor,arrival_first,0.00016,0.0014692378328742,False,False,False
1.0,8,1e-05,floor,departure_first,0.00016,0.0014692378328742,False,False,False
1.0,8,3e-05,floor,arrival_first,0.0002,0.0018298261665142,False,False,False
1.0,8,3e-05,floor,departure_first,0.0002,0.0018298261665142,False,False,False
1.0,8,0.0001,floor,arrival_first,0.0002199999999999,0.0019891500904158,False,False,False
1.0,8,0.0001,floor,departure_first,0.0002199999999999,0.0019891500904158,False,False,False
1.0,8,0.0003,floor,arrival_first,0.00056,0.0051423324150597,False,False,False
1.0,8,0.0003,floor,departure_first,0.00082,0.0075298438934802,False,False,False
1.0,8,0.001,floor,arrival_first,0.00064,0.0055944055944056,False,False,False
1.0,8,0.001,floor,departure_first,0.0006999999999999,0.0063097169641246,False,False,False
1.0,8,0.003,floor,arrival_first,0.00168,0.0151433207138994,False,False,False
1.0,8,0.003,floor,departure_first,0.00182,0.0164052641067243,False,False,False
1.0,8,0.01,floor,arrival_first,0.0027999999999999,0.0260756192959582,False,False,False
1.0,8,0.01,floor,departure_first,0.0030799999999999,0.0293612964728312,False,False,False
1.0,8,0.03,floor,arrival_first,0.00714,0.0644753476611884,True,False,False
1.0,8,0.03,floor,departure_first,0.0073799999999999,0.0664619830232978,True,False,False
1.0,8,0.1,floor,arrival_first,0.0181999999999999,0.1631512529295113,True,True,False
1.0,8,0.1,floor,departure_first,0.0191999999999999,0.1730665224445645,True,True,False
1.1,8,1e-05,floor,arrival_first,0.00028,0.0017114914425428,False,False,False
1.1,8,1e-05,floor,departure_first,0.00028,0.0017114914425428,False,False,False
1.1,8,3e-05,floor,arrival_first,0.00028,0.0017114914425428,False,False,False
1.1,8,3e-05,floor,departure_first,0.00028,0.0017114914425428,False,False,False
1.1,8,0.0001,floor,arrival_first,0.00042,0.0026401810409856,False,False,False
1.1,8,0.0001,floor,departure_first,0.0004599999999999,0.0029468289557974,False,False,False
1.1,8,0.0003,floor,arrival_first,0.0009,0.0058677793714957,False,False,False
1.1,8,0.0003,floor,departure_first,0.0008,0.005215803885774,False,False,False
1.1,8,0.001,floor,arrival_first,0.0011999999999999,0.0075623897151498,False,False,False
1.1,8,0.001,floor,departure_first,0.0013799999999999,0.0086890819795994,False,False,False
1.1,8,0.003,floor,arrival_first,0.0025399999999999,0.0162051805537832,False,False,False
1.1,8,0.003,floor,departure_first,0.0023799999999999,0.0151843817787418,False,False,False
1.1,8,0.01,floor,arrival_first,0.00472,0.0301135638637233,False,False,False
1.1,8,0.01,floor,departure_first,0.0046999999999999,0.029985964016843,False,False,False
1.1,8,0.03,floor,arrival_first,0.0080399999999999,0.0512951384458338,True,False,False
1.1,8,0.03,floor,departure_first,0.0086199999999999,0.0553842199948598,True,False,False
1.1,8,0.1,floor,arrival_first,0.0232799999999999,0.1441129132103503,True,True,False
1.1,8,0.1,floor,departure_first,0.02456,0.1536302156437411,True,True,False
