filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:51.081741+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:51.081773+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:51.081776+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:51.436626+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:51.436644+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:51.436646+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:51.981409+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:51.981426+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:51.981428+00:00
signed_loss_error_ru.png,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.455264+00:00
signed_loss_error_ru.svg,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.455287+00:00
signed_loss_error_ru.pdf,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.455290+00:00
critical_collision_rate_ru.png,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.813051+00:00
critical_collision_rate_ru.svg,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.813070+00:00
critical_collision_rate_ru.pdf,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:52.813071+00:00
total_collision_vs_gap_ru.png,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.032554+00:00
total_collision_vs_gap_ru.svg,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.032578+00:00
total_collision_vs_gap_ru.pdf,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.032581+00:00
critical_difference_vs_gap_ru.png,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.239975+00:00
critical_difference_vs_gap_ru.svg,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.239997+00:00
critical_difference_vs_gap_ru.pdf,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:53.239998+00:00
runtime_vs_events_ru.png,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:53.423456+00:00
runtime_vs_events_ru.svg,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:53.423473+00:00
runtime_vs_events_ru.pdf,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:53.423475+00:00
