filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:41.270039+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:41.270075+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:09:41.270078+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:41.572251+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:41.572266+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:41.572269+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:41.987400+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:41.987415+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:41.987417+00:00
signed_loss_error_ru.png,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.337089+00:00
signed_loss_error_ru.svg,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.337104+00:00
signed_loss_error_ru.pdf,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.337106+00:00
critical_collision_rate_ru.png,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.668421+00:00
critical_collision_rate_ru.svg,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.668442+00:00
critical_collision_rate_ru.pdf,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:42.668444+00:00
total_collision_vs_gap_ru.png,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:42.881174+00:00
total_collision_vs_gap_ru.svg,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:42.881192+00:00
total_collision_vs_gap_ru.pdf,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:42.881194+00:00
critical_difference_vs_gap_ru.png,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:43.098923+00:00
critical_difference_vs_gap_ru.svg,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:43.098939+00:00
critical_difference_vs_gap_ru.pdf,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T11:09:43.098941+00:00
runtime_vs_events_ru.png,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:43.286707+00:00
runtime_vs_events_ru.svg,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:43.286722+00:00
runtime_vs_events_ru.pdf,runtime_vs_events,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T11:09:43.286724+00:00
