rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.5,4,0.0001,floor,arrival_first,2.0000000000006124e-05,0.0006293266205162404,False,False,False
0.5,4,0.0001,floor,departure_first,2.0000000000006124e-05,0.0006591957811469738,False,False,False
0.5,4,0.0001,floor,exact_within_tick,2.0000000000006124e-05,0.0006591957811469738,False,False,False
0.5,4,0.0001,floor,insertion_order,2.0000000000006124e-05,0.0006293266205162404,False,False,False
0.5,4,0.001,floor,arrival_first,4.000000000000531e-05,0.0012928248222365342,False,False,False
0.5,4,0.001,floor,departure_first,8.000000000000021e-05,0.00263678312458801,False,False,False
0.5,4,0.001,floor,exact_within_tick,6.0000000000004494e-05,0.0018785222291798525,False,False,False
0.5,4,0.001,floor,insertion_order,4.000000000000531e-05,0.0012928248222365342,False,False,False
0.5,4,0.01,floor,arrival_first,0.000279999999999999,0.008939974457215805,False,False,False
0.5,4,0.01,floor,departure_first,0.00048000000000000126,0.0149625935162093,False,False,False
0.5,4,0.01,floor,exact_within_tick,0.00034,0.01088348271446863,False,False,False
0.5,4,0.01,floor,insertion_order,0.000279999999999999,0.008939974457215805,False,False,False
0.5,4,0.03,floor,arrival_first,0.0007400000000000011,0.023731048121291974,False,False,False
0.5,4,0.03,floor,departure_first,0.0012400000000000015,0.0396927016645327,False,False,False
0.5,4,0.03,floor,exact_within_tick,0.0010800000000000046,0.03241296518607457,False,False,False
0.5,4,0.03,floor,insertion_order,0.0007400000000000011,0.023731048121291974,False,False,False
0.5,4,0.1,floor,arrival_first,0.0022199999999999998,0.06654676258992805,True,False,False
0.5,4,0.1,floor,departure_first,0.0037400000000000037,0.11709455228553549,True,True,False
0.5,4,0.1,floor,exact_within_tick,0.002880000000000004,0.0901690670006263,True,False,False
0.5,4,0.1,floor,insertion_order,0.0022199999999999998,0.06654676258992805,True,False,False
0.5,8,0.0001,floor,arrival_first,0.0,0.0,False,False,False
0.5,8,0.0001,floor,departure_first,0.0,0.0,False,False,False
0.5,8,0.0001,floor,exact_within_tick,0.0,0.0,False,False,False
0.5,8,0.0001,floor,insertion_order,0.0,0.0,False,False,False
0.5,8,0.001,floor,arrival_first,2.0000000000000052e-05,0.015625000000000038,False,False,False
0.5,8,0.001,floor,departure_first,2.0000000000000052e-05,0.015625000000000038,False,False,False
0.5,8,0.001,floor,exact_within_tick,2.0000000000000052e-05,0.015625000000000038,False,False,False
0.5,8,0.001,floor,insertion_order,2.0000000000000052e-05,0.015625000000000038,False,False,False
0.5,8,0.01,floor,arrival_first,7.999999999999999e-05,0.05405405405405405,True,False,False
0.5,8,0.01,floor,departure_first,0.00010000000000000005,0.0675675675675676,True,False,False
0.5,8,0.01,floor,exact_within_tick,8.000000000000021e-05,0.06250000000000015,True,False,False
0.5,8,0.01,floor,insertion_order,7.999999999999999e-05,0.05405405405405405,True,False,False
0.5,8,0.03,floor,arrival_first,0.00018000000000000004,0.09195402298850573,True,False,False
0.5,8,0.03,floor,departure_first,0.0002400000000000002,0.12643678160919536,True,True,False
0.5,8,0.03,floor,exact_within_tick,0.00022000000000000014,0.11494252873563224,True,True,False
0.5,8,0.03,floor,insertion_order,0.00018000000000000004,0.09195402298850573,True,False,False
0.5,8,0.1,floor,arrival_first,0.0004599999999999999,0.18390804597701146,True,True,False
0.5,8,0.1,floor,departure_first,0.0006000000000000003,0.24444444444444438,True,True,False
0.5,8,0.1,floor,exact_within_tick,0.0005600000000000002,0.23333333333333334,True,True,False
0.5,8,0.1,floor,insertion_order,0.0004599999999999999,0.18390804597701146,True,True,False
0.5,16,0.0001,floor,arrival_first,0.0,0.0,False,False,False
0.5,16,0.0001,floor,departure_first,0.0,0.0,False,False,False
0.5,16,0.0001,floor,exact_within_tick,0.0,0.0,False,False,False
0.5,16,0.0001,floor,insertion_order,0.0,0.0,False,False,False
0.5,16,0.001,floor,arrival_first,0.0,0.0,False,False,False
