filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.5_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=4,plot_run,ru,2026-07-28T10:05:44.901912+00:00
loss_rho-0.5_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=4,plot_run,ru,2026-07-28T10:05:44.901937+00:00
loss_rho-0.5_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=4,plot_run,ru,2026-07-28T10:05:44.901940+00:00
loss_rho-0.5_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=8,plot_run,ru,2026-07-28T10:05:45.497482+00:00
loss_rho-0.5_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=8,plot_run,ru,2026-07-28T10:05:45.497501+00:00
loss_rho-0.5_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=8,plot_run,ru,2026-07-28T10:05:45.497507+00:00
loss_rho-0.5_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=16,plot_run,ru,2026-07-28T10:05:45.926737+00:00
loss_rho-0.5_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=16,plot_run,ru,2026-07-28T10:05:45.926756+00:00
loss_rho-0.5_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=16,plot_run,ru,2026-07-28T10:05:45.926758+00:00
loss_rho-0.5_K-32_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=32,plot_run,ru,2026-07-28T10:05:46.342865+00:00
loss_rho-0.5_K-32_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=32,plot_run,ru,2026-07-28T10:05:46.342885+00:00
loss_rho-0.5_K-32_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.5;capacity=32,plot_run,ru,2026-07-28T10:05:46.342887+00:00
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:05:46.806963+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:05:46.806982+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:05:46.806984+00:00
loss_rho-0.8_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:05:47.390623+00:00
loss_rho-0.8_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:05:47.390641+00:00
loss_rho-0.8_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:05:47.390643+00:00
loss_rho-0.8_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T10:05:47.899625+00:00
loss_rho-0.8_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T10:05:47.899644+00:00
loss_rho-0.8_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T10:05:47.899646+00:00
loss_rho-0.8_K-32_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=32,plot_run,ru,2026-07-28T10:05:48.396867+00:00
loss_rho-0.8_K-32_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=32,plot_run,ru,2026-07-28T10:05:48.396887+00:00
loss_rho-0.8_K-32_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=32,plot_run,ru,2026-07-28T10:05:48.396890+00:00
loss_rho-0.95_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.95;capacity=4,plot_run,ru,2026-07-28T10:05:49.007712+00:00
loss_rho-0.95_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.95;capacity=4,plot_run,ru,2026-07-28T10:05:49.007744+00:00
loss_rho-0.95_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.95;capacity=4,plot_run,ru,2026-07-28T10:05:49.007747+00:00
loss_rho-0.95_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.95;capacity=8,plot_run,ru,2026-07-28T10:05:49.441553+00:00
loss_rho-0.95_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.95;capacity=8,plot_run,ru,2026-07-28T10:05:49.441576+00:00
