quantizer,rho,capacity,delta,policy,arrival_quantization_error_signed_mean,arrival_quantization_error_absolute_mean,arrival_quantization_error_median,arrival_quantization_error_p05,arrival_quantization_error_p95,arrival_quantization_error_minimum,arrival_quantization_error_maximum,arrival_quantization_error_zero_fraction,arrival_quantization_error_shortened_fraction,arrival_quantization_error_lengthened_fraction,arrival_quantization_error_accumulated_signed_error,service_quantization_error_signed_mean,service_quantization_error_absolute_mean,service_quantization_error_median,service_quantization_error_p05,service_quantization_error_p95,service_quantization_error_minimum,service_quantization_error_maximum,service_quantization_error_zero_fraction,service_quantization_error_shortened_fraction,service_quantization_error_lengthened_fraction,service_quantization_error_accumulated_signed_error
ceiling,0.5,1,1e-05,arrival_first,5.001593859866261e-06,5.001593859866261e-06,5.0007183745037764e-06,5.010494411787174e-07,9.499953409128162e-06,2.3749938312297065e-10,9.999781104852445e-06,0.0,0.0,1.0,0.25007969299331306,5.002177003617809e-06,5.002177003617809e-06,5.004910760068249e-06,5.005319670659444e-07,9.501041581742657e-06,3.301314254374373e-10,9.999690678385206e-06,0.0,0.0,1.0,0.16661267986399786
ceiling,0.5,1,1e-05,departure_first,5.001593859866261e-06,5.001593859866261e-06,5.0007183745037764e-06,5.010494411787174e-07,9.499953409128162e-06,2.3749938312297065e-10,9.999781104852445e-06,0.0,0.0,1.0,0.25007969299331306,5.002187525828197e-06,5.002187525828197e-06,5.004919774308066e-06,5.005324941083357e-07,9.501041290757827e-06,3.301314254374373e-10,9.999690678385206e-06,0.0,0.0,1.0,0.16661319725372123
ceiling,0.5,1,1e-05,insertion_order,5.001593859866261e-06,5.001593859866261e-06,5.0007183745037764e-06,5.010494411787174e-07,9.499953409128162e-06,2.3749938312297065e-10,9.999781104852445e-06,0.0,0.0,1.0,0.25007969299331306,5.002177003617809e-06,5.002177003617809e-06,5.004910760068249e-06,5.005319670659444e-07,9.501041581742657e-06,3.301314254374373e-10,9.999690678385206e-06,0.0,0.0,1.0,0.16661267986399786
ceiling,0.5,1,3e-05,arrival_first,1.4997570478950365e-05,1.4997570478950365e-05,1.4995129640738014e-05,1.4999794044949039e-06,2.8501704612911753e-05,4.694811650551856e-10,2.9999451665692808e-05,6.666666666666667e-07,0.0,0.9999993333333334,0.7498785239475183,1.5008552117880487e-05,1.5008552117880487e-05,1.5017703986622219e-05,1.4962881811553947e-06,2.850236962990219e-05,7.658154485556957e-10,2.9999077223665886e-05,9.991407389644904e-07,0.0,0.9999990008592611,0.4999038764311258
ceiling,0.5,1,3e-05,departure_first,1.4997570478950365e-05,1.4997570478950365e-05,1.4995129640738014e-05,1.4999794044949039e-06,2.8501704612911753e-05,4.694811650551856e-10,2.9999451665692808e-05,6.666666666666667e-07,0.0,0.9999993333333334,0.7498785239475183,1.5008552013697938e-05,1.5008552013697938e-05,1.5017660388396264e-05,1.4963012735301715e-06,2.8502390975077616e-05,7.658154485556957e-10,2.9999077223665886e-05,9.991407389644904e-07,0.0,0.9999990008592611,0.4999058840984836
ceiling,0.5,1,3e-05,insertion_order,1.4997570478950365e-05,1.4997570478950365e-05,1.4995129640738014e-05,1.4999794044949039e-06,2.8501704612911753e-05,4.694811650551856e-10,2.9999451665692808e-05,6.666666666666667e-07,0.0,0.9999993333333334,0.7498785239475183,1.5008552117880487e-05,1.5008552117880487e-05,1.5017703986622219e-05,1.4962881811553947e-06,2.850236962990219e-05,7.658154485556957e-10,2.9999077223665886e-05,9.991407389644904e-07,0.0,0.9999990008592611,0.4999038764311258
ceiling,0.5,1,0.0001,arrival_first,5.002451183068479e-05,5.002451183068479e-05,5.004731735122429e-05,5.01460080461887e-06,9.500006428121801e-05,1.7214309385356804e-09,9.999815653524516e-05,0.0,0.0,1.0,2.501225591534239,4.9996030401542964e-05,4.9996030401542964e-05,4.9996254912297996e-05,5.030697294595093e-06,9.505287142403887e-05,2.7916412604032476e-09,9.999672166760843e-05,0.0,0.0,1.0,1.6652221171859953
ceiling,0.5,1,0.0001,departure_first,5.002451183068479e-05,5.002451183068479e-05,5.004731735122429e-05,5.01460080461887e-06,9.500006428121801e-05,1.7214309385356804e-09,9.999815653524516e-05,0.0,0.0,1.0,2.501225591534239,4.999580611315931e-05,4.999580611315931e-05,4.999554498274627e-05,5.030467054340972e-06,9.505299182437627e-05,2.7916412604032476e-09,9.999672166760843e-05,0.0,0.0,1.0,1.665264591455594
ceiling,0.5,1,0.0001,insertion_order,5.002451183068479e-05,5.002451183068479e-05,5.004731735122429e-05,5.01460080461887e-06,9.500006428121801e-05,1.7214309385356804e-09,9.999815653524516e-05,0.0,0.0,1.0,2.501225591534239,4.9996030401542964e-05,4.9996030401542964e-05,4.9996254912297996e-05,5.030697294595093e-06,9.505287142403887e-05,2.7916412604032476e-09,9.999672166760843e-05,0.0,0.0,1.0,1.6652221171859953
ceiling,0.5,1,0.0003,arrival_first,0.0001500781037156424,0.0001500781037156424,0.0001501971681136638,1.5045779725066193e-05,0.00028489059743454464,5.715749769782027e-09,0.00029999503391688146,0.0,0.0,1.0,7.50390518578212,0.00014995723918925265,0.00014995723918925265,0.0001498548234960068,1.4996991835042206e-05,0.0002851028576706604,1.0023973129151543e-08,0.000299990807490134,0.0,0.0,1.0,4.994396977362787
