workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_00393e9c91ea6587b857c79e,1.1,4,ceiling,preload_all,5,0.9474393880009336,-0.080073425653959,AF/DF midpoint before one log-log slope per workload-design
workload_00393e9c91ea6587b857c79e,1.1,4,floor,preload_all,6,0.9641854976545038,0.5530337613121339,AF/DF midpoint before one log-log slope per workload-design
workload_00393e9c91ea6587b857c79e,1.1,4,nearest,preload_all,6,0.9531066086848567,0.3552253786620626,AF/DF midpoint before one log-log slope per workload-design
workload_0062dc2410ae2707b8b930fb,0.8,4,ceiling,preload_all,5,1.0946653972435196,0.7012247998587693,AF/DF midpoint before one log-log slope per workload-design
workload_0062dc2410ae2707b8b930fb,0.8,4,floor,preload_all,4,1.189176939655721,1.8953467826368584,AF/DF midpoint before one log-log slope per workload-design
workload_0062dc2410ae2707b8b930fb,0.8,4,nearest,preload_all,5,1.2272622546381478,1.7825106823973107,AF/DF midpoint before one log-log slope per workload-design
workload_00ec550f2147e074a7008166,1.25,8,ceiling,preload_all,5,0.8989542135246553,0.0387685491317485,AF/DF midpoint before one log-log slope per workload-design
workload_00ec550f2147e074a7008166,1.25,8,floor,preload_all,6,0.9328540299955996,0.5896372626297989,AF/DF midpoint before one log-log slope per workload-design
workload_00ec550f2147e074a7008166,1.25,8,nearest,preload_all,5,1.1190492147918036,1.6120284186582372,AF/DF midpoint before one log-log slope per workload-design
workload_0138ec04d591e0adfd3bedea,1.25,8,ceiling,preload_all,5,1.1684951882379426,1.6552537938377132,AF/DF midpoint before one log-log slope per workload-design
workload_0138ec04d591e0adfd3bedea,1.25,8,floor,preload_all,5,1.0480282157267733,1.3064423048714875,AF/DF midpoint before one log-log slope per workload-design
workload_0138ec04d591e0adfd3bedea,1.25,8,nearest,preload_all,5,1.1087286753470889,1.5788808930663794,AF/DF midpoint before one log-log slope per workload-design
workload_014174e79c222417a5ef1097,0.5,4,ceiling,preload_all,4,1.145630034970888,0.6456667451628391,AF/DF midpoint before one log-log slope per workload-design
workload_014174e79c222417a5ef1097,0.5,4,floor,preload_all,4,1.170390129672163,1.726329336467083,AF/DF midpoint before one log-log slope per workload-design
