analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_0058e7839025a90e454b914b,1.25,8,0.0003,ceiling,schedule_next_after_transition,30,0.00010399999999999947,0.0005614428142653972,0.00030300000000000005,8.1e-05,0.125,7.199999999999889e-05,0.0001386666666666675,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_015ffe75d203a9eb45a8b46c,0.5,16,0.01,nearest,schedule_next_after_transition,30,0.0,0.012480076786332846,0.00748,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_01de87da3dc9c9fb9d7c626e,0.5,1,0.001,ceiling,schedule_next_after_transition,30,0.00021533333333333403,0.0006538622967748012,0.0003153333333333333,0.0003153333333333333,1.0,0.0001906666666666667,0.00023999999999999946,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_030b98f367a30ff00472fdd8,1.0,1,0.003,floor,schedule_next_after_transition,30,0.000767333333333331,0.006025327641935006,0.0030429999999999997,0.001506,1.0,0.0007073333333333339,0.0008260000000000045,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05bd1579675047637e20428a,0.5,8,0.001,floor,schedule_next_after_transition,30,6.666666666666684e-07,0.0017213489804440904,0.0010113333333333333,2.0000000000000003e-06,0.125,0.0,2.0000000000000054e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05dbe4ac14bf3bd1d20599dd,1.0,16,0.03,ceiling,schedule_next_after_transition,30,0.0002826666666666686,0.04367093927279123,0.027725666666666666,0.0019863333333333334,0.0625,0.00021198333333333468,0.00035866666666666827,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05ff6fc91682263e7422f564,1.0,1,0.0001,floor,schedule_next_after_transition,30,2.9333333333336765e-05,0.00020087296715655474,9.933333333333334e-05,5.066666666666667e-05,1.0,2.1333333333332464e-05,3.8666666666664675e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_06457805ed17be7e1f11ef30,1.25,1,0.0001,nearest,schedule_next_after_transition,30,3.99999999999993e-05,0.00019664814947734178,8.466666666666667e-05,6.466666666666668e-05,1.0,2.9999999999996697e-05,5.066666666666923e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_06beb15d4adefc83cecbf5d0,1.0,4,0.001,nearest,schedule_next_after_transition,30,7.266666666666532e-05,0.001931659922214525,0.0009163333333333333,0.00020066666666666667,0.25,5.266666666666753e-05,9.533333333332876e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_06c6adf2957729b4cb05e680,0.95,8,0.003,ceiling,schedule_next_after_transition,30,0.00010333333333333306,0.00414877578720133,0.002541,0.00026,0.125,7.4e-05,0.00013599999999999954,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0979ed30cccaf3fea48534d6,1.1,1,0.001,nearest,schedule_next_after_transition,30,0.00025533333333332964,0.0018388916924851988,0.0007740000000000001,0.0005146666666666666,1.0,0.00022199999999999626,0.000289999999999994,mean of workload-paired AF/DF estimates,workload replication
