workload_id,rho,capacity,quantizer,arrival_scheduling_mode,configured_fine_deltas,positive_fine_deltas,zero_fine_deltas,min_included_delta,max_included_delta,status,exponent,intercept,r_squared
workload_00393e9c91ea6587b857c79e,1.1,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9474393880009336,-0.08007342565395906,0.9936933856657673
workload_00393e9c91ea6587b857c79e,1.1,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9641854976545038,0.5530337613121339,0.9968070584370702
workload_00393e9c91ea6587b857c79e,1.1,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9531066086848569,0.3552253786620626,0.9970975274200792
workload_0062dc2410ae2707b8b930fb,0.8,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0946653972435196,0.7012247998587693,0.9986806245257167
workload_0062dc2410ae2707b8b930fb,0.8,4,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.189176939655721,1.8953467826368582,0.9964175039431569
workload_0062dc2410ae2707b8b930fb,0.8,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.2272622546381478,1.7825106823973107,0.9780750392893057
workload_00ec550f2147e074a7008166,1.25,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.8989542135246553,0.03876854913174857,0.9987667724214303
workload_00ec550f2147e074a7008166,1.25,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9328540299955997,0.5896372626297989,0.9967276636122034
workload_00ec550f2147e074a7008166,1.25,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.1190492147918036,1.6120284186582372,0.9996968318455847
workload_0138ec04d591e0adfd3bedea,1.25,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.1684951882379426,1.6552537938377132,0.9950040251030996
workload_0138ec04d591e0adfd3bedea,1.25,8,floor,preload_all,6,5,1,1e-05,0.003,one_missing,1.0480282157267733,1.3064423048714875,0.9985392986856928
workload_0138ec04d591e0adfd3bedea,1.25,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.1087286753470889,1.5788808930663794,0.9950103244737305
workload_014174e79c222417a5ef1097,0.5,4,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.1456300349708881,0.6456667451628391,0.9834700787811801
workload_014174e79c222417a5ef1097,0.5,4,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.170390129672163,1.726329336467083,0.9912027632868344
workload_014174e79c222417a5ef1097,0.5,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.1613950990748811,1.2124671632134447,0.9950405811403753
workload_014bf1568eaf356e3289f2b1,0.5,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9101245233262601,-1.0500925146623652,0.9406716240889361
workload_014bf1568eaf356e3289f2b1,0.5,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9179206546494745,0.052746747414344416,0.9883881924345529
workload_014bf1568eaf356e3289f2b1,0.5,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.8282065600228163,-0.864886841247177,0.9956689715366468
workload_0220639c90f8c17e7909b1a5,1.0,4,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.8924657701339322,-0.19644525130889348,0.9993256724345326
workload_0220639c90f8c17e7909b1a5,1.0,4,floor,preload_all,6,6,0,1e-05,0.003,complete,1.1041729764865713,1.5829461719459053,0.967494093644783
workload_0220639c90f8c17e7909b1a5,1.0,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.9095135158910922,-0.01575841023080211,0.9612080572273248
workload_022de3c91152186c9ec2b867,0.5,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0727227413771654,0.10128020718356973,0.9875912175717414
workload_022de3c91152186c9ec2b867,0.5,16,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0649918882007443,0.9983624533026505,0.9713850674964919
workload_022de3c91152186c9ec2b867,0.5,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9416807969472222,-0.19946012163057095,0.9946150251386725
workload_0243ed2d019743bc266a6518,0.8,4,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9497046968093232,-0.13797146825124307,0.9817795658936506
workload_0243ed2d019743bc266a6518,0.8,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.971288422015696,0.6139147958747642,0.9917731647616695
workload_0243ed2d019743bc266a6518,0.8,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9704245906098081,0.3137447094678789,0.9912707013450693
workload_02d04e240f55700bb43da04b,0.95,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9947844065849698,0.2821171820932855,0.9668429359371014
workload_02d04e240f55700bb43da04b,0.95,8,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0404650399936441,1.0770404987830215,0.9931313389506375
workload_02d04e240f55700bb43da04b,0.95,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9936197361889842,0.5327349481025133,0.9840068512879825
workload_02ebd24f18843a696cf0abc1,0.5,4,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.280556414155763,1.363281539956302,0.9507897799611448
workload_02ebd24f18843a696cf0abc1,0.5,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8234601188207272,-0.7174527710374184,0.9778923096680778
workload_02ebd24f18843a696cf0abc1,0.5,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.8184861277678562,-1.1875789172956257,0.9646372857757433
workload_0343f07b75323e1bcd22acf4,0.8,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9607830628567136,-0.24091279213633604,0.9955040649220122
