analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_00496a8ddda1c00e34a892b7,0.8,8,0.0003,nearest,preload_all,30,4.0000000000000684e-06,0.0004898636947254428,0.0002606666666666667,1.2e-05,0.125,1.333333333333279e-06,7.999999999999674e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_00ac4d73eeae35c79c88caa4,0.5,4,0.03,ceiling,preload_all,30,0.0005093333333333334,0.022290817554574047,0.014466666666666666,0.000986,0.25,0.0004593333333333329,0.0005600000000000008,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_00f01783fa5bc967cdedf4be,1.25,1,0.01,ceiling,preload_all,30,0.0024700000000000017,0.016191233380820073,0.005547333333333334,0.005547333333333334,1.0,0.0023059999999999934,0.0026346666666666628,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_01085c3b20173846a0e4e54c,1.1,4,0.03,ceiling,preload_all,30,0.0010933333333333305,0.046282411551894324,0.024558333333333335,0.007305000000000001,0.25,0.0009153333333333301,0.0012706666666666634,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_014ccd38c7fbda09884b7bc4,0.5,1,0.0003,ceiling,preload_all,30,4.999999999999449e-05,0.00016885152285515994,7.000000000000001e-05,7.000000000000001e-05,1.0,3.933333333333196e-05,6.199999999999174e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_03418d4272570ba84246387e,0.5,4,0.001,floor,preload_all,30,1.9333333333332893e-05,0.0017212055972672087,0.0009663333333333333,3.366666666666667e-05,0.25,1.1333333333333103e-05,2.7999999999999322e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0366ca930ab8edbd64093773,1.0,1,0.03,ceiling,preload_all,30,0.0074193333333333255,0.03913823664561246,0.014584333333333333,0.014584333333333333,1.0,0.007217999999999986,0.00761666666666667,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_03722c467ed8d5a8f8165be6,0.5,16,0.0003,nearest,preload_all,30,0.0,0.00039966949676276743,0.00024266666666666667,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_038980ad757ceb4f9d72cc28,0.8,4,0.0003,nearest,preload_all,30,1.4000000000000123e-05,0.00045398683832979206,0.00023533333333333335,3.066666666666667e-05,0.25,9.333333333333878e-06,1.866666666666683e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_03b1d34c216102464e57c63f,0.95,4,0.003,nearest,preload_all,30,0.00014533333333333157,0.005554145826339488,0.002692333333333333,0.0005593333333333333,0.25,0.0001073333333333315,0.00018535000000000264,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_040b4bf870d54ce5ca94dde6,1.0,8,1e-05,floor,preload_all,30,1.333333333333279e-06,2.47045633738387e-05,8.000000000000001e-06,1.3333333333333334e-06,0.125,0.0,3.999999999999837e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_041aff57c3fa6070acfe6f63,1.1,16,0.1,floor,preload_all,30,0.0008980000000000016,0.22480248887957088,0.090017,0.007924,0.0625,0.0006973333333333355,0.0011080166666666688,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_042f54cfad596d60aefbda1a,0.95,16,0.0001,ceiling,preload_all,30,4.666666666666708e-06,0.00013657248636569677,8.8e-05,2.666666666666667e-06,0.0625,0.0,1.2000000000000205e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05445869e5a3b7132be0737e,0.95,8,0.003,nearest,preload_all,30,9.666666666666665e-05,0.005618362128777885,0.002761,0.00025833333333333334,0.125,6.866666666666688e-05,0.00012599999999999973,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_058e0aec304c584d7e75feff,1.25,4,0.0001,floor,preload_all,30,1.400000000000475e-05,0.00025060977869753576,9.733333333333335e-05,2.6000000000000002e-05,0.25,8.0000000000006e-06,2.1333333333338014e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0596185b8c9664f07ab8ffb3,0.8,16,0.01,ceiling,preload_all,30,2.466666666666673e-05,0.011940981923102372,0.007929666666666666,6.733333333333333e-05,0.0625,1.666666666666671e-05,3.266666666666684e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05a864833c8165bd8f5b68ec,1.1,16,0.0001,ceiling,preload_all,30,4.1333333333333035e-05,0.0001687884997474911,9.666666666666668e-05,9.333333333333334e-06,0.0625,1.5999999999998885e-05,7.199999999999984e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_05c8be9569ec1a812fd79990,0.95,8,0.0001,floor,preload_all,30,5.3333333333335784e-06,0.00023170775694864265,9.200000000000001e-05,3.3333333333333333e-06,0.125,0.0,1.2666666666666845e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_063322a777721e7e32efff0f,0.5,4,0.003,floor,preload_all,30,6.0666666666667086e-05,0.005148427763997505,0.0029516666666666667,0.00011166666666666667,0.25,4.7333333333333716e-05,7.466666666666663e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_067d1b94e25b18621d51bf10,0.5,1,0.01,nearest,preload_all,30,0.002267333333333332,0.010870084368932753,0.006646666666666666,0.0033323333333333334,1.0,0.0021800000000000005,0.0023559999999999953,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_06dec4acc989949c5433217e,1.0,1,0.0001,floor,preload_all,30,2.9333333333336765e-05,0.00020087296715655474,9.933333333333334e-05,5.066666666666667e-05,1.0,2.1333333333334314e-05,3.80000000000121e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_074d3e755fe8999747683485,1.25,4,0.003,floor,preload_all,30,0.00023666666666666652,0.007756274632585836,0.0029753333333333337,0.0009043333333333334,0.25,0.00017533333333333469,0.00030466666666666793,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_07f8f2b888cab74a3f7fe298,0.8,4,0.1,ceiling,preload_all,30,0.0035559999999999984,0.11083766918060649,0.06662933333333333,0.012585666666666667,0.25,0.003368,0.003737349999999998,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0852e21bc115441367957c8b,1.1,8,0.001,floor,preload_all,30,0.00011466666666666662,0.002522130620455228,0.0010086666666666666,0.00017033333333333334,0.125,8.733333333333463e-05,0.00014266666666666594,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_08a112e03147dcf436fc7e79,0.5,8,0.01,ceiling,preload_all,30,9.333333333333322e-06,0.007434412732477327,0.004938333333333334,2e-05,0.125,3.999999999999989e-06,1.5333333333333324e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_09557e2a453264d1dc8e9e5e,0.8,4,0.0003,floor,preload_all,30,1.5333333333333866e-05,0.0006278588416615909,0.000306,3.6e-05,0.25,1.0000000000001675e-05,2.0666666666666517e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_09960d31c7d3b48c2c80d2d0,0.95,8,0.001,floor,preload_all,30,4.399999999999959e-05,0.0023539958197262337,0.000988,9.133333333333334e-05,0.125,3.33333333333329e-05,5.466666666666721e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_09a869bc45b7f6bd9d1b56a2,1.1,1,0.01,nearest,preload_all,30,0.0024933333333333326,0.01763789388574992,0.0074860000000000005,0.005134333333333334,1.0,0.0023926666666666653,0.002600666666666677,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_09ed7161a60060da90d814ba,0.95,16,0.03,nearest,preload_all,30,0.00019800000000000002,0.055262635896790334,0.027764,0.0010846666666666667,0.0625,0.00012399999999999982,0.0003013333333333338,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0ae3977944bb97b610c70dca,0.5,1,1e-05,ceiling,preload_all,30,6.666666666673334e-07,4.000205426872288e-06,1.3333333333333334e-06,1.3333333333333334e-06,1.0,0.0,2.000000000002e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0b2b6c9b493045fa2c177f09,0.95,8,3e-05,floor,preload_all,30,2.0000000000006123e-06,5.86223085610996e-05,2.1333333333333335e-05,1.3333333333333334e-06,0.125,0.0,5.333333333334967e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0b47d970aa6d4dc075c85fb1,1.1,4,0.001,floor,preload_all,30,8.400000000000352e-05,0.0023999790094485873,0.0010046666666666667,0.00022600000000000002,0.25,6.333333333333744e-05,0.0001046666666666705,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0bd2cdd7cfbc840fda19d7c7,1.1,16,0.0001,floor,preload_all,30,1.7333333333332628e-05,0.00026514625929717516,9.466666666666667e-05,7.333333333333334e-06,0.0625,4.66666666666532e-06,3.335000000000064e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0c403396673c3b6375837a6b,1.0,4,3e-05,ceiling,preload_all,30,2.666666666666558e-06,4.514047696795911e-05,2.6666666666666667e-05,4.666666666666667e-06,0.25,0.0,6.000000000000449e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0c4bd2d83cc8c5ee4f4b32ef,1.25,8,0.003,nearest,preload_all,30,0.0002926666666666707,0.0066521204592904365,0.002920333333333333,0.0006973333333333333,0.125,0.0002066666666666735,0.0003866666666666713,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0c748ef8c57bd302e71167d9,1.25,8,0.01,nearest,preload_all,30,0.0006180000000000009,0.022124254683418842,0.009748666666666666,0.0023226666666666665,0.125,0.0005033333333333398,0.0007453333333333311,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0cb3092218db28426ab6ff77,1.25,16,3e-05,ceiling,preload_all,30,6.333333333333191e-05,6.0911232995352816e-05,3.3333333333333335e-05,8e-06,0.0625,2.2666666666666207e-05,0.00011333333333332921,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0d47195aa7bf9ddda7335692,1.0,4,0.0001,floor,preload_all,30,7.333333333335116e-06,0.00025919309218422874,0.00010866666666666667,1.4e-05,0.25,3.333333333332966e-06,1.20000000000046e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0e2c74893b090771adaac882,0.8,8,0.03,floor,preload_all,30,0.00024799999999999985,0.06302251885702026,0.029398666666666667,0.0010486666666666667,0.125,0.00020533333333333422,0.0002906666666666659,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0e70ddc27c34ce7aa8f4a52a,1.0,16,0.03,ceiling,preload_all,30,0.0002826666666666686,0.04367093927279123,0.027725666666666666,0.0020136666666666666,0.0625,0.0002126666666666684,0.0003599999999999997,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0ebc85a7367ff32419dbd219,1.0,4,0.03,ceiling,preload_all,30,0.0012726666666666626,0.04262625491689842,0.023683666666666665,0.0060353333333333335,0.25,0.0011346666666666645,0.0014079999999999945,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0ef50d9992493321bac6f269,1.25,8,0.03,nearest,preload_all,30,0.000804000000000002,0.06502287679119421,0.028601333333333333,0.006853333333333334,0.125,0.0006599833333333339,0.000955350000000004,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0f34530f0560fd35c1b74548,0.8,1,0.0003,ceiling,preload_all,30,7.1999999999998e-05,0.00028119506377765165,0.00011866666666666667,0.00011866666666666667,1.0,5.733333333332961e-05,8.800000000000104e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0fa8cd46e025b31b9b3787e5,1.25,4,0.03,ceiling,preload_all,30,0.0011119999999999982,0.05155381992078412,0.025627666666666667,0.008979333333333334,0.25,0.000875333333333328,0.0013640000000000021,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_0fce2f1e816e995070b202b6,1.1,8,1e-05,ceiling,preload_all,30,2.00000000000015e-06,2.1695905864327683e-05,1.2666666666666667e-05,2.0000000000000003e-06,0.125,0.0,5.333333333333116e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_10a105716d93c0ae6bf29b59,1.1,4,0.0001,nearest,preload_all,30,2.666666666666558e-05,0.0001984301091397441,9.8e-05,3.4e-05,0.25,1.666666666666668e-05,3.733333333333181e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_112797c057074554d6ba18e1,0.8,1,0.03,floor,preload_all,30,0.007545333333333332,0.05252832911725962,0.029079999999999998,0.012801,1.0,0.0073420000000000004,0.007747333333333332,mean of workload-paired AF/DF estimates,workload replication
