figure_id,source_file,source_analysis,scope,n,x,y,slope,intercept,r_squared,cv_rmse,units,language,file,sha256,chart,selected_rule,fit_range,rho,capacity,n_deltas,exponent
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,en,architecture_match_en.pdf,dac9203d9f3adb494488212ff6dac84561265fc0c19b984d294ceb1f0f3d3c5b,100 percent stacked categories,,,,,,
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,en,architecture_match_en.png,8720072d58d2d8651c9957017b31e05af81a86fb59498c7ad08b9206dc400f04,100 percent stacked categories,,,,,,
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,en,architecture_match_en.svg,0a25a8581849bae8684aeddc27a8fafb69bf57e9e3ef9abd33f5a3f1dcf1588f,100 percent stacked categories,,,,,,
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,ru,architecture_match_ru.pdf,a4762bbbe1c49dc47107b95ded003e06d5b8a4acfeb3787a11c1a345c3857b7b,100 percent stacked categories,,,,,,
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,ru,architecture_match_ru.png,98ba45742e1059a773dd25ef97a661efef53116aec82d2260105445a6feff4f9,100 percent stacked categories,,,,,,
architecture_match,derived/insertion_architecture_summary.csv,v2.2-20260801T081533769838Z-fbfe1698,focused architecture source; exact integer count equality,,,,,,,,,ru,architecture_match_ru.svg,5bf6f9353044996440b3774e82d4756649b7ce352c83e69cb6236b223b357b1d,100 percent stacked categories,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,en,collision_exponent_capacity_supplement_en.pdf,8080ed84abb760936c7f59ce32dba0cd7dfc0ec323e4008314c7cf1da957797d,,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,en,collision_exponent_capacity_supplement_en.png,40da1769f6a23026f0d908d33b3b18d8526562e54f4abc7bc9ec768020cbc23d,,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,en,collision_exponent_capacity_supplement_en.svg,254210e838118d70214eb2d76da83fde03ab1ce1505535e8aa62b202f5ae89a1,,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,ru,collision_exponent_capacity_supplement_ru.pdf,94a87c56d28201d026e62c705cbe08663c192b3a945940848a69613d85b73a2e,,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,ru,collision_exponent_capacity_supplement_ru.png,d28d44b435331639e9408659ece8ad362ac0bf251ac9d37ae9b04f158fa30af0,,,,,,,
collision_exponent_capacity_supplement,derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,supplemental; primary preload_all condition exponents,,,,,,,,,ru,collision_exponent_capacity_supplement_ru.svg,1434f44d53ecc6451ed0edcc56a20487fd056161c3169eaa02c489e0ce698630,,,,,,,
collision_frequency_delta,derived/timing_bias_workload_pairs.parquet; derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,primary preload_all; policy-neutral AF/DF average; positive condition means only,,,,,,0.9999265913820256,,,en,collision_frequency_delta_en.pdf,25e966410c1cacf106975d0e2c613a028e10a1812741c9bb028d986625cda0a1,,"central configured condition rho=1.0, K=8",0 < delta <= 0.003,1.0,8.0,6.0,0.9977951070437552
collision_frequency_delta,derived/timing_bias_workload_pairs.parquet; derived/collision_condition_exponents.csv,v2.2-20260801T081533769838Z-fbfe1698,primary preload_all; policy-neutral AF/DF average; positive condition means only,,,,,,0.9999265913820256,,,en,collision_frequency_delta_en.png,e580b7163e4985f1ef0073e69712c45e197e96f364dd6377b31b00464aa28013,,"central configured condition rho=1.0, K=8",0 < delta <= 0.003,1.0,8.0,6.0,0.9977951070437552
