rho,capacity,delta,quantizer,n,mean_loss,sd_loss,median_loss,p05_loss,p95_loss
0.8,4,0.01,floor,1000,0.12076184999999999,0.0034659515139997834,0.121,0.1157475,0.12885
0.8,4,0.1,floor,1000,0.1126629,0.0033999556303411205,0.1133,0.10725,0.11945
0.8,8,0.01,floor,1000,0.0377309,0.003287382252198864,0.0378,0.0326,0.04265
0.8,8,0.1,floor,1000,0.032207599999999996,0.0028456800830618926,0.03255,0.02765,0.0369025
1.0,4,0.01,floor,1000,0.19986025000000002,0.003526742172011992,0.20035,0.1928,0.2047
1.0,4,0.1,floor,1000,0.18820335,0.003706949251102619,0.187675,0.18355,0.19465
1.0,8,0.01,floor,1000,0.10899085,0.004586721791682411,0.10785,0.1044,0.1185
1.0,8,0.1,floor,1000,0.09381205,0.004045832554439023,0.09275,0.08925,0.10335
1.1,4,0.01,floor,1000,0.23665514999999998,0.003665720049455634,0.2363,0.2321,0.24475
1.1,4,0.1,floor,1000,0.22332634999999998,0.0038814190177164673,0.222725,0.2169,0.23075
1.1,8,0.01,floor,1000,0.1550383,0.004889637170758348,0.1562,0.1473,0.1613
1.1,8,0.1,floor,1000,0.1358552,0.00478632498550473,0.13565,0.1296,0.1441
