rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.8,4,0.01,floor,arrival_first,0.001350000000000004,0.010891488503428833,False,False,False
0.8,4,0.01,floor,departure_first,0.0018500000000000044,0.015188834154351431,False,False,False
0.8,4,0.01,floor,random_order,0.0020000000000000018,0.01642036124794747,False,False,False
0.8,4,0.1,floor,arrival_first,0.009149999999999991,0.07509546033092912,True,False,False
0.8,4,0.1,floor,departure_first,0.0131,0.11115825201527366,True,True,False
0.8,4,0.1,floor,random_order,0.011749999999999983,0.09800593975392441,True,False,False
0.8,8,0.01,floor,arrival_first,0.0018499999999999975,0.04665825977301381,False,False,False
0.8,8,0.01,floor,departure_first,0.0017500000000000016,0.04413619167717515,False,False,False
0.8,8,0.01,floor,random_order,0.0020000000000000018,0.04791929382093314,False,False,False
0.8,8,0.1,floor,arrival_first,0.007149999999999997,0.1883211678832118,True,True,False
0.8,8,0.1,floor,departure_first,0.007950000000000006,0.1941605839416059,True,True,False
0.8,8,0.1,floor,random_order,0.00825,0.2116788321167884,True,True,False
1.0,4,0.01,floor,arrival_first,0.0024500000000000077,0.012265331664580765,False,False,False
1.0,4,0.01,floor,departure_first,0.002950000000000008,0.01476846057571969,False,False,False
1.0,4,0.01,floor,random_order,0.003400000000000014,0.01702127659574475,False,False,False
1.0,4,0.1,floor,arrival_first,0.0131,0.06421568627450981,True,False,False
1.0,4,0.1,floor,departure_first,0.01755000000000001,0.08781586189642236,True,False,False
1.0,4,0.1,floor,random_order,0.016850000000000004,0.08325098814229251,True,False,False
1.0,8,0.01,floor,arrival_first,0.004299999999999998,0.036028487641390855,False,False,False
1.0,8,0.01,floor,departure_first,0.004049999999999998,0.033933808127356496,False,False,False
1.0,8,0.01,floor,random_order,0.005049999999999999,0.04231252618349392,False,False,False
1.0,8,0.1,floor,arrival_first,0.019349999999999992,0.17088014981273408,True,True,False
1.0,8,0.1,floor,departure_first,0.0213,0.18653761548614164,True,True,False
1.0,8,0.1,floor,random_order,0.02255,0.18894009216589863,True,True,False
1.1,4,0.01,floor,arrival_first,0.0036499999999999866,0.01528795811518319,False,False,False
1.1,4,0.01,floor,departure_first,0.003449999999999981,0.014450261780104633,False,False,False
1.1,4,0.01,floor,random_order,0.004149999999999987,0.017382198952879527,False,False,False
1.1,4,0.1,floor,arrival_first,0.016149999999999998,0.06782864342713145,True,False,False
1.1,4,0.1,floor,departure_first,0.020199999999999996,0.0848383032339353,True,False,False
1.1,4,0.1,floor,random_order,0.020550000000000013,0.0875959079283888,True,False,False
1.1,8,0.01,floor,arrival_first,0.005400000000000016,0.033855799373040854,False,False,False
1.1,8,0.01,floor,departure_first,0.005400000000000016,0.033855799373040854,False,False,False
1.1,8,0.01,floor,random_order,0.006099999999999994,0.038244514106583034,False,False,False
1.1,8,0.1,floor,arrival_first,0.02429999999999999,0.1551724137931034,True,True,False
1.1,8,0.1,floor,departure_first,0.02645,0.1658307210031348,True,True,False
1.1,8,0.1,floor,random_order,0.027700000000000002,0.17172969621822692,True,True,False
