filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:41:33.785161+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:41:33.785188+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T10:41:33.785191+00:00
loss_rho-0.8_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:41:34.104876+00:00
loss_rho-0.8_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:41:34.104892+00:00
loss_rho-0.8_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T10:41:34.104894+00:00
loss_rho-1.0_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T10:41:34.444428+00:00
loss_rho-1.0_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T10:41:34.444446+00:00
loss_rho-1.0_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T10:41:34.444448+00:00
loss_rho-1.0_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:41:34.937528+00:00
loss_rho-1.0_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:41:34.937546+00:00
loss_rho-1.0_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:41:34.937548+00:00
loss_rho-1.1_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:41:35.277986+00:00
loss_rho-1.1_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:41:35.278004+00:00
loss_rho-1.1_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:41:35.278006+00:00
loss_rho-1.1_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:41:35.650116+00:00
loss_rho-1.1_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:41:35.650136+00:00
loss_rho-1.1_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:41:35.650139+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:35.974190+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:35.974204+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:35.974206+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.478563+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.478578+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.478580+00:00
signed_loss_error_ru.png,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.781731+00:00
signed_loss_error_ru.svg,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.781752+00:00
signed_loss_error_ru.pdf,signed_loss_error,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:36.781755+00:00
critical_collision_rate_ru.png,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:37.117658+00:00
critical_collision_rate_ru.svg,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:37.117674+00:00
critical_collision_rate_ru.pdf,critical_collision_rate,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:41:37.117676+00:00
total_collision_vs_gap_ru.png,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:37.329147+00:00
total_collision_vs_gap_ru.svg,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:37.329163+00:00
total_collision_vs_gap_ru.pdf,total_collision_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:37.329165+00:00
critical_difference_vs_gap_ru.png,critical_difference_vs_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:41:37.525301+00:00
