replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,random_order,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
0,1.1,4,0.1,floor,10314080050917263060,0.2251,0.21865,0.22255,0.0064499999999999835,0.0064499999999999835,0.2059294891514986,0.0918122549019608,0.021707843137254903
0,1.0,4,0.1,floor,8789802145581861668,0.19745,0.19125,0.1955,0.006199999999999983,0.006199999999999983,0.196381809254882,0.08921372549019609,0.018875980392156863
1,1.0,4,0.1,floor,4237910422097614619,0.1878,0.1823,0.18455,0.005500000000000005,0.005500000000000005,0.19442318297488206,0.08962745098039215,0.018323039215686277
1,0.8,4,0.1,floor,15681207250984307429,0.1147,0.10925,0.11195,0.0054499999999999965,0.0054499999999999965,0.17811994809622214,0.09055245098039215,0.011544117647058823
8,1.1,4,0.1,floor,8122875573709317694,0.22055,0.2152,0.21695,0.005349999999999994,0.005349999999999994,0.20340203719598512,0.09051372549019608,0.02002794117647059
8,1.0,4,0.1,floor,10025896556166607284,0.1907,0.18545,0.1864,0.005250000000000005,0.005250000000000005,0.19128014007800812,0.08732892156862745,0.01708921568627451
7,1.1,4,0.1,floor,5303057865258157885,0.23335,0.22825,0.23075,0.005099999999999993,0.005099999999999993,0.20698466146186584,0.08980980392156863,0.021263725490196075
3,1.1,4,0.1,floor,9850561268805062477,0.22285,0.21835,0.22055,0.004500000000000004,0.004500000000000004,0.20830604318442383,0.09200588235294119,0.021025980392156862
4,1.1,4,0.1,floor,5111202938753633574,0.22565,0.2213,0.2228,0.004349999999999993,0.004349999999999993,0.20206840780279728,0.08998431372549019,0.022862745098039216
5,0.8,4,0.1,floor,3347230304931719110,0.109,0.10475,0.10815,0.004250000000000004,0.004250000000000004,0.1814989984022758,0.09547156862745097,0.011528921568627452
5,1.1,4,0.1,floor,18309881666378245978,0.22195,0.2179,0.22215,0.004049999999999998,0.004249999999999976,0.20392957245710022,0.08842499999999999,0.021359803921568627
7,1.0,4,0.1,floor,5285517801752675714,0.1899,0.18575,0.1877,0.004150000000000015,0.004150000000000015,0.1995368635236432,0.09205245098039216,0.018655392156862745
6,0.8,4,0.1,floor,6485883838572507122,0.1156,0.11145,0.1129,0.004150000000000001,0.004150000000000001,0.1852402338990575,0.09234264705882353,0.010940196078431372
5,1.0,4,0.1,floor,11200393712065075077,0.19575,0.19175,0.19395,0.0040000000000000036,0.0040000000000000036,0.19796678980966825,0.09069558823529411,0.01675294117647059
6,1.0,4,0.1,floor,12677166785038990039,0.18555,0.1818,0.18485,0.0037500000000000033,0.0037500000000000033,0.1961698424025694,0.08949460784313724,0.018226960784313725
4,0.8,4,0.1,floor,17954292861173135899,0.1155,0.1118,0.11375,0.003700000000000009,0.003700000000000009,0.17662852350789554,0.08785980392156863,0.01142156862745098
4,1.0,4,0.1,floor,13739153077587996280,0.1867,0.18305,0.1839,0.0036500000000000143,0.0036500000000000143,0.19653351198250518,0.08944509803921569,0.015510294117647058
8,1.1,8,0.1,floor,9123570677898190117,0.1367,0.13305,0.1341,0.0036499999999999866,0.0036499999999999866,0.21040037196908862,0.0916406862745098,0.012573039215686276
9,1.1,4,0.1,floor,1604181620253517685,0.2273,0.22375,0.2264,0.0035499999999999976,0.0035499999999999976,0.20317291666406662,0.08769313725490195,0.02116764705882353
3,0.8,4,0.1,floor,12137650760789175011,0.1149,0.11135,0.1141,0.0035499999999999976,0.0035499999999999976,0.17753386356374015,0.08993480392156862,0.011115686274509803
