filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:08:31.365868+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:08:31.365892+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-28T11:08:31.365893+00:00
loss_rho-0.8_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T11:08:31.698247+00:00
loss_rho-0.8_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T11:08:31.698267+00:00
loss_rho-0.8_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=8,plot_run,ru,2026-07-28T11:08:31.698269+00:00
loss_rho-0.8_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T11:08:32.213679+00:00
loss_rho-0.8_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T11:08:32.213703+00:00
loss_rho-0.8_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=16,plot_run,ru,2026-07-28T11:08:32.213706+00:00
loss_rho-1.0_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T11:08:32.588419+00:00
loss_rho-1.0_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T11:08:32.588435+00:00
loss_rho-1.0_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T11:08:32.588437+00:00
loss_rho-1.0_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T11:08:32.951083+00:00
loss_rho-1.0_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T11:08:32.951105+00:00
loss_rho-1.0_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T11:08:32.951108+00:00
loss_rho-1.0_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=16,plot_run,ru,2026-07-28T11:08:33.326378+00:00
