replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
13,1.1,4,0.1,floor,3810986937451780764,0.23602,0.22914,0.006879999999999997,0.006879999999999997,0.1993930796598278,0.09094,0.022109999999999998
8,1.1,4,0.1,ceiling,16654886535432301840,0.26216,0.25632,0.005840000000000012,0.005840000000000012,0.13542819437087067,0.07723,0.02423
19,1.0,4,0.1,floor,17983599514937559446,0.18666,0.1809,0.005759999999999987,0.005759999999999987,0.18988621100003317,0.09035,0.01856
4,1.0,4,0.1,nearest,5757015539983804740,0.20444,0.19884,0.005600000000000022,0.005600000000000022,0.15912420784445303,0.08401,0.02105
7,1.1,4,0.1,nearest,3770617149814841986,0.24596,0.24038,0.005580000000000002,0.005580000000000002,0.16458392022330154,0.08063000000000001,0.0215
13,1.0,4,0.1,nearest,16233451618048111761,0.20402,0.1985,0.005519999999999997,0.005519999999999997,0.15434624189287593,0.08058,0.01952
3,1.0,4,0.1,floor,3571599681760526584,0.18914,0.18364,0.005500000000000005,0.005500000000000005,0.18948504054769644,0.08979000000000001,0.01769
15,1.0,4,0.1,floor,10305908680272516987,0.18418,0.17878,0.005400000000000016,0.005400000000000016,0.1872987774185373,0.09014,0.017669999999999998
14,1.1,4,0.1,nearest,7028063571192914708,0.24842,0.24316,0.005260000000000015,0.005260000000000015,0.1654506080846275,0.08424000000000001,0.02289
16,1.1,4,0.1,nearest,12024935764686831017,0.24216,0.2369,0.005259999999999987,0.005259999999999987,0.16845233733475487,0.08554,0.02354
7,1.0,4,0.1,nearest,15260429604705845443,0.20106,0.19582,0.005239999999999995,0.005239999999999995,0.15607353339509233,0.08095,0.01898
0,1.1,4,0.1,nearest,1285697608412378097,0.24496,0.23978,0.005180000000000018,0.005180000000000018,0.16324030785058155,0.08154,0.02275
3,1.1,4,0.1,nearest,4782688952861118192,0.2401,0.23502,0.005080000000000001,0.005080000000000001,0.1653744179926897,0.0844,0.02282
10,1.1,4,0.1,floor,2542211816372824308,0.22776,0.22272,0.005039999999999989,0.005039999999999989,0.19711791968926087,0.08896000000000001,0.02128
18,0.8,4,0.1,floor,1032571593181989491,0.12042,0.1154,0.005019999999999997,0.005019999999999997,0.17486348638916493,0.0929,0.01221
9,1.0,4,0.1,floor,14597579433115393179,0.18396,0.17904,0.004920000000000008,0.004920000000000008,0.1847454080213431,0.09071,0.01744
11,1.1,4,0.1,nearest,10984495394543595652,0.24258,0.23766,0.00491999999999998,0.00491999999999998,0.1652311980909047,0.08271,0.02338
6,1.0,4,0.1,floor,4647228751287197075,0.19218,0.18726,0.00491999999999998,0.00491999999999998,0.18656267143439514,0.09021000000000001,0.01813
11,1.0,4,0.1,ceiling,88196075481375520,0.21248,0.2076,0.0048799999999999955,0.0048799999999999955,0.12601498622485052,0.07708,0.0212
19,1.1,4,0.1,nearest,9371922406435178157,0.23714,0.23226,0.0048799999999999955,0.0048799999999999955,0.1639044676636846,0.08386,0.022359999999999998
