filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-1_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:52:54.987616+00:00
loss_rho-0.8_K-1_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:52:54.987635+00:00
loss_rho-0.8_K-1_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:52:54.987639+00:00
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:52:55.432618+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:52:55.432636+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:52:55.432640+00:00
loss_rho-1.1_K-1_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:52:56.063253+00:00
loss_rho-1.1_K-1_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:52:56.063272+00:00
loss_rho-1.1_K-1_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:52:56.063276+00:00
loss_rho-1.1_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:52:56.519377+00:00
loss_rho-1.1_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:52:56.519396+00:00
loss_rho-1.1_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:52:56.519399+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:52:56.909512+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:52:56.909529+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:52:56.909531+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:52:57.280092+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:52:57.280114+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:52:57.280117+00:00
