rho,capacity,delta,quantizer,policy,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_collision_rate,mean_critical_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
0.8,1,0.001,floor,arrival_first,2,0.4535,0.014849242404917511,0.4511232788230971,0.0,0.0005813953488372093,0.0005,0.01050000000000001,0.43291999999999997,0.47408000000000006
0.8,1,0.001,floor,departure_first,2,0.453,0.01555634918610406,0.4515267226193418,0.0,0.0005810575246949448,0.0005,0.01100000000000001,0.43144,0.47456000000000004
0.8,1,0.001,floor,exact_within_tick,2,0.453,0.01555634918610406,0.4515267226193418,0.0,0.0005810575246949448,0.0005,0.01100000000000001,0.43144,0.47456000000000004
0.8,1,0.001,floor,insertion_order,2,0.4535,0.014849242404917511,0.4511232788230971,0.0,0.0005813953488372093,0.0005,0.01050000000000001,0.43291999999999997,0.47408000000000006
0.8,1,0.01,floor,arrival_first,2,0.452,0.012727922061357866,0.45239027912292784,0.0,0.011738224774225377,0.008,0.009000000000000006,0.43436,0.46964
0.8,1,0.01,floor,departure_first,2,0.449,0.012727922061357866,0.454867802077235,0.0,0.012888529945342998,0.009000000000000001,0.009000000000000006,0.43136,0.46664
0.8,1,0.01,floor,exact_within_tick,2,0.451,0.014142135623730963,0.4531971667154173,0.0,0.01232344843020785,0.0085,0.010000000000000009,0.4314,0.4706
0.8,1,0.01,floor,insertion_order,2,0.452,0.012727922061357866,0.45239027912292784,0.0,0.011738224774225377,0.008,0.009000000000000006,0.43436,0.46964
0.8,4,0.001,floor,arrival_first,2,0.099,0.00989949493661166,0.7152557104405192,1.124409659600469,0.0019120458891013384,0.0,0.006999999999999996,0.08528000000000001,0.11272
0.8,4,0.001,floor,departure_first,2,0.099,0.00989949493661166,0.7152557104405192,1.124409659600469,0.0019120458891013384,0.0,0.006999999999999996,0.08528000000000001,0.11272
