replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,exact_within_tick,insertion_order,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
0,0.8,1,0.001,floor,15930186375362587093,0.464,0.464,0.464,0.464,0.0,0.0,0.0,0.0,0.0
0,0.8,1,0.01,floor,15930186375362587093,0.461,0.458,0.461,0.461,0.0030000000000000027,0.0030000000000000027,0.017372532431787324,0.012750000000000001,0.012750000000000001
0,0.8,4,0.001,floor,5014967627985407274,0.106,0.106,0.106,0.106,0.0,0.0,0.0,0.0,0.0
0,0.8,4,0.01,floor,5014967627985407274,0.105,0.102,0.104,0.105,0.0030000000000000027,0.0030000000000000027,0.011606820872133465,0.009,0.004
0,1.1,1,0.001,floor,12866979016616305928,0.524,0.524,0.524,0.524,0.0,0.0,0.0,0.0,0.0
0,1.1,1,0.01,floor,12866979016616305928,0.523,0.52,0.522,0.523,0.0030000000000000027,0.0030000000000000027,0.01715951830723847,0.007,0.007
0,1.1,4,0.001,floor,12137418121724726054,0.214,0.214,0.214,0.214,0.0,0.0,0.001021972406745018,0.0,0.0
0,1.1,4,0.01,floor,12137418121724726054,0.219,0.219,0.219,0.219,0.0,0.0,0.01788451711803781,0.0095,0.001
1,0.8,1,0.001,floor,16396379004244341538,0.443,0.442,0.442,0.443,0.0010000000000000009,0.0010000000000000009,0.0011624528735321542,0.001,0.001
1,0.8,1,0.01,floor,16396379004244341538,0.443,0.44,0.441,0.443,0.0030000000000000027,0.0030000000000000027,0.006971681530213474,0.004,0.004
1,0.8,4,0.001,floor,9968550434105921604,0.092,0.092,0.092,0.092,0.0,0.0,0.0038240917782026767,0.003,0.0
1,0.8,4,0.01,floor,9968550434105921604,0.091,0.091,0.091,0.091,0.0,0.0,0.008600095556617296,0.004,0.0
1,1.1,1,0.001,floor,16666820443843287453,0.536,0.536,0.536,0.536,0.0,0.0,0.0,0.0,0.0
1,1.1,1,0.01,floor,16666820443843287453,0.536,0.536,0.536,0.536,0.0,0.0,0.002476780185758514,0.001,0.001
1,1.1,4,0.001,floor,8036022683502382092,0.194,0.194,0.194,0.194,0.0,0.0,0.0010167768174885613,0.001,0.0
1,1.1,4,0.01,floor,8036022683502382092,0.197,0.197,0.197,0.197,0.0,0.0,0.01780264496439471,0.0125,0.003
