rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.8,1,0.001,floor,arrival_first,0.0,0.0,False,False,False
0.8,1,0.001,floor,departure_first,0.001,0.0022573363431151,False,False,False
0.8,1,0.001,floor,exact_within_tick,0.001,0.0022573363431151,False,False,False
0.8,1,0.001,floor,insertion_order,0.0,0.0,False,False,False
0.8,1,0.01,floor,arrival_first,0.003,0.0064655172413793,False,False,False
0.8,1,0.01,floor,departure_first,0.006,0.0129310344827586,False,False,False
0.8,1,0.01,floor,exact_within_tick,0.003,0.0064655172413793,False,False,False
0.8,1,0.01,floor,insertion_order,0.003,0.0064655172413793,False,False,False
0.8,4,0.001,floor,arrival_first,0.0,0.0,False,False,False
0.8,4,0.001,floor,departure_first,0.0,0.0,False,False,False
0.8,4,0.001,floor,exact_within_tick,0.0,0.0,False,False,False
0.8,4,0.001,floor,insertion_order,0.0,0.0,False,False,False
0.8,4,0.01,floor,arrival_first,0.001,0.0108695652173913,False,False,False
0.8,4,0.01,floor,departure_first,0.004,0.0377358490566038,False,False,False
0.8,4,0.01,floor,exact_within_tick,0.002,0.0188679245283019,False,False,False
0.8,4,0.01,floor,insertion_order,0.001,0.0108695652173913,False,False,False
1.1,1,0.001,floor,arrival_first,0.0,0.0,False,False,False
1.1,1,0.001,floor,departure_first,0.0,0.0,False,False,False
1.1,1,0.001,floor,exact_within_tick,0.0,0.0,False,False,False
1.1,1,0.001,floor,insertion_order,0.0,0.0,False,False,False
1.1,1,0.01,floor,arrival_first,0.001,0.0019083969465648,False,False,False
1.1,1,0.01,floor,departure_first,0.004,0.0076335877862595,False,False,False
1.1,1,0.01,floor,exact_within_tick,0.002,0.0038167938931297,False,False,False
1.1,1,0.01,floor,insertion_order,0.001,0.0019083969465648,False,False,False
1.1,4,0.001,floor,arrival_first,0.001,0.0046511627906976,False,False,False
1.1,4,0.001,floor,departure_first,0.001,0.0046511627906976,False,False,False
1.1,4,0.001,floor,exact_within_tick,0.001,0.0046511627906976,False,False,False
1.1,4,0.001,floor,insertion_order,0.001,0.0046511627906976,False,False,False
1.1,4,0.01,floor,arrival_first,0.004,0.0186046511627907,False,False,False
1.1,4,0.01,floor,departure_first,0.004,0.0186046511627907,False,False,False
1.1,4,0.01,floor,exact_within_tick,0.004,0.0186046511627907,False,False,False
1.1,4,0.01,floor,insertion_order,0.004,0.0186046511627907,False,False,False
