rho,capacity,delta,quantizer,policy,max_absolute_error,max_relative_error,exceeds_5_percent,exceeds_10_percent,exceeds_25_percent
0.8,1,0.001,floor,arrival_first,0.0,0.0,False,False,False
0.8,1,0.001,floor,departure_first,0.0010000000000000009,0.002257336343115126,False,False,False
0.8,1,0.001,floor,exact_within_tick,0.0010000000000000009,0.002257336343115126,False,False,False
0.8,1,0.001,floor,insertion_order,0.0,0.0,False,False,False
0.8,1,0.01,floor,arrival_first,0.0030000000000000027,0.0064655172413793155,False,False,False
0.8,1,0.01,floor,departure_first,0.006000000000000005,0.012931034482758631,False,False,False
0.8,1,0.01,floor,exact_within_tick,0.0030000000000000027,0.0064655172413793155,False,False,False
0.8,1,0.01,floor,insertion_order,0.0030000000000000027,0.0064655172413793155,False,False,False
0.8,4,0.001,floor,arrival_first,0.0,0.0,False,False,False
0.8,4,0.001,floor,departure_first,0.0,0.0,False,False,False
0.8,4,0.001,floor,exact_within_tick,0.0,0.0,False,False,False
0.8,4,0.001,floor,insertion_order,0.0,0.0,False,False,False
0.8,4,0.01,floor,arrival_first,0.0010000000000000009,0.010869565217391314,False,False,False
0.8,4,0.01,floor,departure_first,0.0040000000000000036,0.03773584905660381,False,False,False
0.8,4,0.01,floor,exact_within_tick,0.0020000000000000018,0.018867924528301903,False,False,False
0.8,4,0.01,floor,insertion_order,0.0010000000000000009,0.010869565217391314,False,False,False
1.1,1,0.001,floor,arrival_first,0.0,0.0,False,False,False
1.1,1,0.001,floor,departure_first,0.0,0.0,False,False,False
1.1,1,0.001,floor,exact_within_tick,0.0,0.0,False,False,False
1.1,1,0.001,floor,insertion_order,0.0,0.0,False,False,False
1.1,1,0.01,floor,arrival_first,0.0010000000000000009,0.0019083969465648872,False,False,False
1.1,1,0.01,floor,departure_first,0.0040000000000000036,0.007633587786259549,False,False,False
1.1,1,0.01,floor,exact_within_tick,0.0020000000000000018,0.0038167938931297743,False,False,False
1.1,1,0.01,floor,insertion_order,0.0010000000000000009,0.0019083969465648872,False,False,False
1.1,4,0.001,floor,arrival_first,0.0010000000000000009,0.004651162790697679,False,False,False
1.1,4,0.001,floor,departure_first,0.0010000000000000009,0.004651162790697679,False,False,False
1.1,4,0.001,floor,exact_within_tick,0.0010000000000000009,0.004651162790697679,False,False,False
1.1,4,0.001,floor,insertion_order,0.0010000000000000009,0.004651162790697679,False,False,False
1.1,4,0.01,floor,arrival_first,0.0040000000000000036,0.018604651162790715,False,False,False
1.1,4,0.01,floor,departure_first,0.0040000000000000036,0.018604651162790715,False,False,False
1.1,4,0.01,floor,exact_within_tick,0.0040000000000000036,0.018604651162790715,False,False,False
1.1,4,0.01,floor,insertion_order,0.0040000000000000036,0.018604651162790715,False,False,False
